Title,Author,Runtime,Price,Language,Release Date,Rating
Emerita Divided,Daniel Schinhofen,10 hrs and 23 mins,$24.95,English,04-18-25,5
Mr. Charming,Piper Rayne,9 hrs and 16 mins,$19.95,English,04-18-25,4.5
GigaBeasts,"Gwen Grayson, Edgar Riggs",11 hrs,$48.99,English,04-18-25,5
Isles of the Emberdark,Brandon Sanderson,16 hrs and 51 mins,$14.69,English,11-01-25,Not rated yet
Prepper Nation: Ignorance Is Strength,Tom Abrahams,8 hrs and 41 mins,$19.95,English,04-18-25,Not rated yet
Jack,Susan May Warren,8 hrs and 39 mins,$19.95,English,04-18-25,5
"De Smet's Letters and Sketches, 1841-1842",Pierre-Jean de Smet,8 hrs and 8 mins,$19.95,English,04-15-25,Not rated yet
Bull Rush,Maggie Rawdon,11 hrs and 5 mins,$24.95,English,04-18-25,4.5
Mind Power,Olivia Stone,12 hrs and 16 mins,$24.95,English,04-16-25,Not rated yet
The Golden Goblin,Terry Mancour,19 hrs,$54.99,English,07-15-25,Not rated yet
When the Music Plays,Macario Jackie,1 hr and 22 mins,$6.95,English,04-17-25,Not rated yet
The Wedding Heist,Sheila Calipay,1 hr and 30 mins,$6.95,English,04-14-25,Not rated yet
England Since Waterloo,Sir John Arthur Ransome Marriott,24 hrs and 51 mins,$29.95,English,04-14-25,Not rated yet
Whispers of the Hollow,Nicholas Meshew,2 hrs and 16 mins,$6.95,English,04-17-25,Not rated yet
"Somewhere, Somehow, Maeron",Jason S Brenner,1 hr and 24 mins,$6.95,English,04-18-25,Not rated yet
Dream Girls Staycation,Virgil Knightley,7 hrs and 1 min,$46.19,English,04-18-25,4.5
Rage World,B.V. Larson,12 hrs and 18 mins,$49.90,English,07-01-25,Not rated yet
Stillness in Nice,Tracy McGlone,2 hrs and 19 mins,$6.95,English,04-17-25,Not rated yet
Europe and Elsewhere,Mark Twain,12 hrs and 58 mins,$24.95,English,04-14-25,Not rated yet
A Fatal Illusion,"Matthew Costello, Neil Richards",3 hrs and 30 mins,$4.89,English,04-25-25,Not rated yet
Notes on Being a Man,Scott Galloway,8 hrs,$18.74,English,11-04-25,Not rated yet
That Sumner,Jiwen Chen,2 hrs and 19 mins,$6.95,English,04-16-25,Not rated yet
Dead Tired III,RavensDagger,8 hrs and 55 mins,$19.95,English,04-29-25,Not rated yet
Twelve Months,Jim Butcher,15 hrs,$24.30,English,01-20-26,Not rated yet
"Azarinth Healer, Book Five",Rhaegar,20 hrs and 18 mins,$29.95,English,04-29-25,Not rated yet
"Otter Cove Shifters Complete Collection, Books 1-9",Delta James,40 hrs and 17 mins,$29.95,English,04-17-25,5
The Reluctant Wife,L. Steele,13 hrs and 25 mins,$24.95,English,04-18-25,Not rated yet
Path of the Berserker 4: A Daopocalypse Progression Fantasy,Rick Scott,15 hrs and 32 mins,$49.90,English,05-06-25,Not rated yet
The Best Man,"Malcolm D. Lee, Jayne Allen",8 hrs,$19.80,English,07-01-25,Not rated yet
Fresh Every Hour,John Peter Toohey,6 hrs and 10 mins,$19.95,English,04-02-25,Not rated yet
"The End of The End (Zombie Fallout, Book 25)",Mark Tufo,Not Yet Known,$24.95,English,07-22-25,Not rated yet
Hand of Fate,"J.N. Chaney, Terry Maggert",10 hrs and 14 mins,$33.90,English,05-13-25,Not rated yet
Murder at Hambledon Hall,C. J. Archer,8 hrs and 16 mins,$27.25,English,06-03-25,Not rated yet
Waved Away,Will Nesbitt,4 hrs and 37 mins,$14.95,English,04-01-25,5
