date_of_match,home_team,score,away_team,league
17-08-2024,Arsenal,2 - 0,Wolves,England
24-08-2024,Aston Villa,0 - 2,Arsenal,England
31-08-2024,Arsenal,1 - 1,Brighton,England
15-09-2024,Tottenham,0 - 1,Arsenal,England
22-09-2024,Man City,2 - 2,Arsenal,England
28-09-2024,Arsenal,4 - 2,Leicester,England
05-10-2024,Arsenal,3 - 1,Southampton,England
19-10-2024,Bournemouth,2 - 0,Arsenal,England
27-10-2024,Arsenal,2 - 2,Liverpool,England
02-11-2024,Newcastle,1 - 0,Arsenal,England
10-11-2024,Chelsea,1 - 1,Arsenal,England
23-11-2024,Arsenal,3 - 0,Nott'm Forest,England
30-11-2024,West Ham,2 - 5,Arsenal,England
04-12-2024,Arsenal,2 - 0,Man United,England
08-12-2024,Fulham,1 - 1,Arsenal,England
14-12-2024,Arsenal,0 - 0,Everton,England
21-12-2024,Crystal Palace,1 - 5,Arsenal,England
27-12-2024,Arsenal,1 - 0,Ipswich,England
01-01-2025,Brentford,1 - 3,Arsenal,England
04-01-2025,Brighton,1 - 1,Arsenal,England
15-01-2025,Arsenal,2 - 1,Tottenham,England
18-01-2025,Arsenal,2 - 2,Aston Villa,England
25-01-2025,Wolves,0 - 1,Arsenal,England
02-02-2025,Arsenal,5 - 1,Man City,England
15-02-2025,Leicester,0 - 2,Arsenal,England
22-02-2025,Arsenal,0 - 1,West Ham,England
26-02-2025,Nott'm Forest,0 - 0,Arsenal,England
09-03-2025,Man United,1 - 1,Arsenal,England
16-03-2025,Arsenal,1 - 0,Chelsea,England
01-04-2025,Arsenal,2 - 1,Fulham,England
05-04-2025,Everton,1 - 1,Arsenal,England
12-04-2025,Arsenal,1 - 1,Brentford,England
17-08-2024,West Ham,1 - 2,Aston Villa,England
24-08-2024,Aston Villa,0 - 2,Arsenal,England
31-08-2024,Leicester,1 - 2,Aston Villa,England
14-09-2024,Aston Villa,3 - 2,Everton,England
21-09-2024,Aston Villa,3 - 1,Wolves,England
29-09-2024,Ipswich,2 - 2,Aston Villa,England
06-10-2024,Aston Villa,0 - 0,Man United,England
19-10-2024,Fulham,1 - 3,Aston Villa,England
26-10-2024,Aston Villa,1 - 1,Bournemouth,England
03-11-2024,Tottenham,4 - 1,Aston Villa,England
09-11-2024,Liverpool,2 - 0,Aston Villa,England
23-11-2024,Aston Villa,2 - 2,Crystal Palace,England
01-12-2024,Chelsea,3 - 0,Aston Villa,England
04-12-2024,Aston Villa,3 - 1,Brentford,England
07-12-2024,Aston Villa,1 - 0,Southampton,England
14-12-2024,Nott'm Forest,2 - 1,Aston Villa,England
21-12-2024,Aston Villa,2 - 1,Man City,England
26-12-2024,Newcastle,3 - 0,Aston Villa,England
30-12-2024,Aston Villa,2 - 2,Brighton,England
04-01-2025,Aston Villa,2 - 1,Leicester,England
15-01-2025,Everton,0 - 1,Aston Villa,England
18-01-2025,Arsenal,2 - 2,Aston Villa,England
26-01-2025,Aston Villa,1 - 1,West Ham,England
01-02-2025,Wolves,2 - 0,Aston Villa,England
15-02-2025,Aston Villa,1 - 1,Ipswich,England
19-02-2025,Aston Villa,2 - 2,Liverpool,England
22-02-2025,Aston Villa,2 - 1,Chelsea,England
25-02-2025,Crystal Palace,4 - 1,Aston Villa,England
08-03-2025,Brentford,0 - 1,Aston Villa,England
02-04-2025,Brighton,0 - 3,Aston Villa,England
05-04-2025,Aston Villa,2 - 1,Nott'm Forest,England
12-04-2025,Southampton,0 - 3,Aston Villa,England
19-04-2025,Aston Villa,4 - 1,Newcastle,England
17-08-2024,Nott'm Forest,1 - 1,Bournemouth,England
25-08-2024,Bournemouth,1 - 1,Newcastle,England
31-08-2024,Everton,2 - 3,Bournemouth,England
14-09-2024,Bournemouth,0 - 1,Chelsea,England
21-09-2024,Liverpool,3 - 0,Bournemouth,England
30-09-2024,Bournemouth,3 - 1,Southampton,England
05-10-2024,Leicester,1 - 0,Bournemouth,England
19-10-2024,Bournemouth,2 - 0,Arsenal,England
26-10-2024,Aston Villa,1 - 1,Bournemouth,England
02-11-2024,Bournemouth,2 - 1,Man City,England
09-11-2024,Brentford,3 - 2,Bournemouth,England
23-11-2024,Bournemouth,1 - 2,Brighton,England
30-11-2024,Wolves,2 - 4,Bournemouth,England
05-12-2024,Bournemouth,1 - 0,Tottenham,England
08-12-2024,Ipswich,1 - 2,Bournemouth,England
16-12-2024,Bournemouth,1 - 1,West Ham,England
22-12-2024,Man United,0 - 3,Bournemouth,England
26-12-2024,Bournemouth,0 - 0,Crystal Palace,England
